,target,date_str,datetime_str,alpha,Mag,rate,RA,DEC,RA_str,DEC_str,T_Vis,lunar_elong,twlt_stt,twlt_stp,nght_stt,nght_stp
9,524594,2025-07-18,2025-07-18,18.9441,24.209,0.0972268,215.30728,-17.48848,14:21:14,-17:29:19,5.25,175.8,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
24,524594,2025-07-19,2025-07-19,19.0433,24.217,0.1057741,215.34373,-17.46808,14:21:22,-17:28:05,5.25,161.7,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
38,524594,2025-07-20,2025-07-20,19.1373,24.224,0.1153694,215.38564,-17.44964,14:21:33,-17:26:59,5.000000014901161,147.5,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
52,524594,2025-07-21,2025-07-21,19.2262,24.231,0.1257416,215.433,-17.43314,14:21:44,-17:26:00,5.000000014901161,133.4,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
12,90000179,2025-07-18,2025-07-18,2.6167,23.452,0.2532863,275.30619,-11.58774,18:21:13,-11:35:16,7.999999992549419,125.5,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
27,90000179,2025-07-19,2025-07-19,2.7101,23.455,0.2509081,275.20443,-11.58595,18:20:49,-11:35:09,7.999999992549419,138.6,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
41,90000179,2025-07-20,2025-07-20,2.8035,23.458,0.2484174,275.10367,-11.58448,18:20:25,-11:35:04,7.999999992549419,151.0,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
56,90000179,2025-07-21,2025-07-21,2.897,23.461,0.2457337,275.00396,-11.58334,18:20:01,-11:35:00,8.000000014901161,160.6,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
2,90000490,2025-07-18,2025-07-18,11.2716,23.671,0.2147642,36.90043,5.95601,2:27:36,5:57:22,3.2500000074505806,13.9,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
17,90000490,2025-07-19,2025-07-19,11.3009,23.664,0.2087268,36.98519,5.95472,2:27:56,5:57:17,3.2500000074505806,24.2,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
32,90000490,2025-07-20,2025-07-20,11.3275,23.657,0.2026386,37.06752,5.95234,2:28:16,5:57:08,3.2500000074505806,37.1,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
46,90000490,2025-07-21,2025-07-21,11.3516,23.651,0.1965051,37.14739,5.94886,2:28:35,5:56:56,3.2500000074505806,50.5,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
7,90000547,2025-07-18,2025-07-18,15.2327,22.207,0.2594327,210.3787,-4.3627,14:01:31,-4:21:46,4.5,162.5,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
22,90000547,2025-07-19,2025-07-19,15.2244,22.222,0.2665849,210.45185,-4.43894,14:01:48,-4:26:20,4.5,150.2,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
36,90000547,2025-07-20,2025-07-20,15.2126,22.236,0.2737178,210.52833,-4.51589,14:02:07,-4:30:57,4.250000014901161,136.9,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
51,90000547,2025-07-21,2025-07-21,15.1974,22.25,0.2808208,210.60809,-4.59353,14:02:26,-4:35:37,4.250000014901161,123.3,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
3,Moon,2025-07-18,2025-07-18,106.2731,-9.492,39.768547,39.09194,19.68203,2:36:22,19:40:55,1.7500000074505806,0.0,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
19,Moon,2025-07-19,2025-07-19,119.4917,-8.84,42.536993,53.62376,24.18195,3:34:30,24:10:55,0.2500000074505806,0.0,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
